trade_date,account,coin,sentiment_bucket,trades,pnl,win_rate,notional,fg_value_mean,pnl_per_notional
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ENS,Greed,4,-7.121359999999999,0.0,20014.59,84.0,-0.0003558084377446652
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ETC,Greed,5,205.04848,0.6,1928.3799999999999,84.0,0.106331988508489
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ETH,Greed,1168,3153.973442,0.1309931506849315,10574882.69,84.0,0.0002982513881674086
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,GAS,Greed,2,60.6139,0.5,739.53,84.0,0.08196273308723108
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,GMT,Greed,2,121.08594,0.5,1121.19,84.0,0.1079976988735183
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HPOS,Greed,96,524.8535760000001,0.3958333333333333,40199.9,84.0,0.01305609158231737
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,IMX,Greed,3,420.64044,0.6666666666666666,2421.86,84.0,0.1736848703062935
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,INJ,Greed,13,134.95747999999998,0.15384615384615385,40138.02,84.0,0.003362335262177855
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,LOOM,Greed,5,215.057055,0.4,1715.72,84.0,0.12534507670249223
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,MATIC,Greed,10,915.560676,0.6,40927.98,84.0,0.022370043085439346
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,MEME,Greed,5,395.851344,0.6,4071.4700000000003,84.0,0.0972256565810383
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,NTRN,Greed,11,319.269612,0.45454545454545453,16318.46,84.0,0.01956493517157869
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,PEOPLE,Greed,2,360.646005,0.5,1360.49,84.0,0.2650853773272865
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,PURR/USDC,Greed,73,0.0,0.0,31177.15,84.0,0.0
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,PYTH,Greed,6,111.878376,0.5,14883.130000000001,84.0,0.007517126840926606
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,RLB,Greed,4,75.947736,0.5,1914.8,84.0,0.03966353457280134
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,SHIA,Greed,5,273.568643,0.6,1279.06,84.0,0.2138825723578253
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,SOL,Greed,40,719.674543,0.3,510797.23,84.0,0.001408924130226783
